cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
0,Peasants,0,1,0a,1d,2h,1f,4,nil,ICON_UNIT_PEASANTS,SPRITE_PEASANTS,SOUND_SELECT1_PEASANTS,SOUND_MOVE_PEASANTS,SOUND_ATTACK_PEASANTS
1,Zombies,0,1,2a,2d,2h,1f,4,Rfg,ICON_UNIT_ZOMBIES,SPRITE_ZOMBIES,SOUND_SELECT1_ZOMBIES,SOUND_MOVE_ZOMBIES,SOUND_ATTACK_ZOMBIES
1,Spearmen,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_SPEARMEN,SPRITE_SPEARMEN,SOUND_SELECT1_SPEARMEN,SOUND_MOVE_SPEARMEN,SOUND_ATTACK_SPEARMEN
2,Swordsmen,0,1,2a,2d,1h,1f,2,Bro,ICON_UNIT_SWORDSMEN,SPRITE_SWORDSMEN,SOUND_SELECT1_SWORDSMEN,SOUND_MOVE_SWORDSMEN,SOUND_ATTACK_SWORDSMEN
4,Phantom Warriors,0,2,3a,1d,1h,2f,3,The,ICON_UNIT_PHANTOM_WARRIORS,SPRITE_PHANTOM_WARRIORS,SOUND_SELECT1_PHANTOM_WARRIORS,SOUND_MOVE_PHANTOM_WARRIORS,SOUND_ATTACK_PHANTOM_WARRIORS
5,Hell Hounds,0,1,4a,2d,1h,1f,6,MP,ICON_UNIT_HELL_HOUNDS,SPRITE_HELL_HOUNDS,SOUND_SELECT1_HELL_HOUNDS,SOUND_MOVE_HELL_HOUNDS,SOUND_ATTACK_HELL_HOUNDS
6,Warbears,0,1,3a,3d,2h,1f,4,Plu,ICON_UNIT_WARBEARS,SPRITE_WARBEARS,SOUND_SELECT1_WARBEARS,SOUND_MOVE_WARBEARS,SOUND_ATTACK_WARBEARS
7,Warlock,0,2,12a,2d,2h,2f,12,AFl,ICON_UNIT_WARLOCK,SPRITE_WARLOCK,SOUND_SELECT1_WARLOCK,SOUND_MOVE_WARLOCK,SOUND_ATTACK_WARLOCK
8,Ariel,0,2,3a,8d,2h,2f,4,Mys,ICON_UNIT_ARIEL,SPRITE_ARIEL,SOUND_SELECT1_ARIEL,SOUND_MOVE_ARIEL,SOUND_ATTACK_ARIEL
9,Jafar,0,4,6a,4d,2h,2f,6,Mys,ICON_UNIT_JAFAR,SPRITE_JAFAR,SOUND_SELECT1_JAFAR,SOUND_MOVE_JAFAR,SOUND_ATTACK_JAFAR
